[71, ['303', '3130253', 'Breakroom'], ['151089', 'Cameras & Optics|Photography|Darkroom']]
[52, ['303', '3130253', 'Breakroom'], ['153167', 'Home & Garden|Kitchen & Dining|Kitchen Tools & Utensils|Food Crackers']]

[52, ['303', '3130253', 'Breakroom'], ['152321', 'Hardware|Tools|Measuring Tools & Sensors|Rebar Locators']]

[52, ['303', '3130253', 'Breakroom'], ['151814', 'Food, Beverages & Tobacco|Food Items|Prepared Foods']]

[52, ['303', '3130253', 'Breakroom'], ['150271', 'Apparel & Accessories|Clothing|Traditional & Ceremonial Clothing|Kimonos|Bridal Kimonos']]

[50, ['303', '3130253', 'Breakroom'], ['320064', 'Vehicles & Parts|Vehicle Parts & Accessories|Motor Vehicle Parts|Motor Vehicle Engine Parts|Vehicle Starter Motors']]

[50, ['303', '3130253', 'Breakroom'], ['198569', 'Furniture|Baby & Toddler Furniture|Playroom Furniture']]

[50, ['303', '3130253', 'Breakroom'], ['154735', 'Vehicles & Parts|Vehicle Parts & Accessories|Motor Vehicle Parts|Transmission Parts|Rocker Arms']]

[50, ['303', '3130253', 'Breakroom'], ['154665', 'Vehicles & Parts|Vehicle Parts & Accessories|Motor Vehicle Parts|Motor Vehicle Engine Parts|Vehicle Starter Motor Parts']]
[50, ['303', '3130253', 'Breakroom'], ['154631', 'Vehicles & Parts|Vehicle Parts & Accessories|Motor Vehicle Parts|Motor Vehicle Braking|Vehicle Manual Brake Parts']]
[50, ['303', '3130253', 'Breakroom'], ['154630', 'Vehicles & Parts|Vehicle Parts & Accessories|Motor Vehicle Parts|Motor Vehicle Braking|Vehicle Brake Parts']]

[50, ['303', '3130253', 'Breakroom'], ['154629', 'Vehicles & Parts|Vehicle Parts & Accessories|Motor Vehicle Parts|Motor Vehicle Braking|Parking Brake Parts']]

[50, ['303', '3130253', 'Breakroom'], ['154534', 'Vehicles & Parts|Vehicle Parts & Accessories|Motor Vehicle Care|Vehicle Cleaning|Vehicle Aerosol Cleaners']]

[50, ['303', '3130253', 'Breakroom'], ['154513', 'Vehicles & Parts|Vehicle Parts & Accessories|Car Audio & Video|Car Audio|Car Speakerphones']]

[50, ['303', '3130253', 'Breakroom'], ['154363', 'Sporting Goods|Winter Sports|Snowboarding|Snowboard Boots']]

[50, ['303', '3130253', 'Breakroom'], ['153545', 'Media|Product Manuals|Sports & Recreation Manuals']]

[50, ['303', '3130253', 'Breakroom'], ['153516', 'Media|Books|Non-Fiction|Literary Books']]

[50, ['303', '3130253', 'Breakroom'], ['153057', 'Home & Garden|Kitchen & Dining|Kitchen Appliance Accessories|Range Accessories|Range Burner Covers']]
